id,product_id,disliked_id
0,4,0
1,4,2
2,19,19
3,19,6
4,31,7
5,31,13
6,50,19
7,50,7
8,50,13
9,57,13
10,57,19
11,57,10
12,62,7
13,63,11
14,63,2
15,109,7
16,132,2
17,135,2
18,135,13
19,135,10
20,135,19
21,137,7
22,137,6
23,137,11
24,137,2
25,137,13
26,137,15
27,137,19
28,143,10
29,143,7
30,143,13
31,143,2
32,145,13
33,146,13
34,146,2
35,148,0
36,148,2
37,149,19
38,149,2
39,149,13
40,150,2
41,150,6
42,150,13
43,150,7
44,152,2
45,152,11
46,164,6
47,164,2
48,164,7
49,165,6
50,165,2
51,165,13
52,165,10
53,166,10
54,166,13
55,166,19
56,171,10
57,171,19
58,171,13
59,172,7
60,172,2
61,173,6
62,173,7
63,173,13
64,173,2
65,180,6
66,180,13
67,180,2
68,180,11
69,180,10
70,180,7
71,181,10
72,181,19
73,181,2
74,181,13
75,181,0
76,181,7
77,182,2
78,182,13
79,182,6
80,182,11
81,200,13
82,200,2
83,200,19
84,222,10
85,222,19
86,228,2
87,244,5
88,244,2
89,245,13
90,256,10
91,256,19
92,256,7
93,257,7
94,257,10
95,257,19
96,298,2
97,298,13
98,298,6
99,298,7
100,299,2
101,299,13
102,299,7
103,299,10
104,308,7
105,308,14
106,308,2
107,308,15
108,308,0
109,419,5
110,419,13
111,433,4
112,433,13
113,433,5
114,502,2
115,502,0
116,502,13
117,503,2
118,503,0
119,503,13
120,504,2
121,504,0
122,504,13
123,539,2
124,539,4
125,539,13
126,549,13
127,549,6
128,550,14
129,550,6
130,552,13
131,556,13
132,556,0
133,561,0
134,561,13
135,562,14
136,562,13
137,562,0
138,565,13
139,565,6
140,568,13
141,585,8
142,585,13
143,587,2
144,587,13
145,592,8
146,592,13
147,598,13
148,610,2
149,610,13
150,610,14
151,611,2
152,611,0
153,611,13
154,613,2
155,613,0
156,613,13
157,614,2
158,614,0
159,614,13
160,615,2
161,615,0
162,615,13
163,616,2
164,616,0
165,616,13
166,621,2
167,621,0
168,621,13
169,625,2
170,625,0
171,625,13
172,627,2
173,627,0
174,627,13
175,631,2
176,631,0
177,631,13
178,632,2
179,632,0
180,632,13
181,634,2
182,634,0
183,634,13
184,640,2
185,640,0
186,640,13
187,642,2
188,642,0
189,642,13
190,644,2
191,644,0
192,644,13
193,645,2
194,645,13
195,645,14
196,647,2
197,647,0
198,647,13
199,649,2
200,649,0
201,649,13
202,654,2
203,654,0
204,654,13
205,655,2
206,655,0
207,655,13
208,658,2
209,658,0
210,658,13
211,672,2
212,672,0
213,672,5
214,675,2
215,675,0
216,675,13
217,681,2
218,681,4
219,681,5
220,681,13
221,681,0
222,704,2
223,704,0
224,704,13
225,707,2
226,707,0
227,711,2
228,711,13
229,712,2
230,712,0
231,712,15
232,712,13
233,719,2
234,719,0
235,719,14
236,721,2
237,721,0
238,724,2
239,724,13
240,741,2
241,741,4
