id,cat_1,cat_2,cat_3,cat_4
138,소스/분말/조미료,분말,밀가루,밀가루
139,소스/분말/조미료,분말,부침가루,부침가루
140,소스/분말/조미료,분말,분말국/찌개,분말국/찌개
141,소스/분말/조미료,분말,분말누룽지,즉석누룽지
142,소스/분말/조미료,분말,분말스프,분말스프
143,소스/분말/조미료,분말,분말죽,분말죽
144,소스/분말/조미료,분말,분말카레/짜장,분말카레
145,소스/분말/조미료,분말,분말카레/짜장,분말카레짜장
146,소스/분말/조미료,분말,빵가루,빵가루
147,소스/분말/조미료,분말,빵믹스,빵믹스
148,소스/분말/조미료,분말,튀김가루,튀김가루
149,소스/분말/조미료,분말,호떡믹스,호떡믹스
150,소스/분말/조미료,소스,고기양념장,고기양념장
151,소스/분말/조미료,소스,고추장,고추장
152,소스/분말/조미료,소스,국물용소스,국물용소스
153,소스/분말/조미료,소스,마요네즈,마요네즈
154,소스/분말/조미료,소스,맛가루,맛가루
155,소스/분말/조미료,소스,물엿/시럽,물엿/시럽
156,소스/분말/조미료,소스,상온드레싱,상온드레싱
157,소스/분말/조미료,소스,앙념소스,앙념소스
158,소스/분말/조미료,소스,양념소스,고기양념장
159,소스/분말/조미료,소스,양념소스,양념소스
160,소스/분말/조미료,소스,케첩,케첩
161,소스/분말/조미료,소스,파스타소스,파
162,소스/분말/조미료,소스,파스타소스,파스타소스
163,소스/분말/조미료,식용유,기타식용유,기타식용유
164,소스/분말/조미료,식용유,옥수수기름,옥수수기름
165,소스/분말/조미료,식용유,올리브유,올리브유
166,소스/분말/조미료,식용유,참기름/들기름,참기름/들기름
167,소스/분말/조미료,식용유,콩기름,콩기름
168,소스/분말/조미료,식용유,포도씨유,포도씨유
169,소스/분말/조미료,식용유,해바라기씨유,해바라기씨유
170,소스/분말/조미료,식용유,향미유,향미유
171,소스/분말/조미료,장류,간장,간장
172,소스/분말/조미료,장류,겨자/고추냉이,겨자/고추냉이
173,소스/분말/조미료,장류,고추장,고추장
174,소스/분말/조미료,장류,고추장,초고추장
175,소스/분말/조미료,장류,기타장류,곡물가루
176,소스/분말/조미료,장류,기타장류,기타장류
177,소스/분말/조미료,장류,된장,된장
178,소스/분말/조미료,장류,쌈장,쌈장
179,소스/분말/조미료,조미료,가공조미료,가공조미료
180,소스/분말/조미료,조미료,기타조미료세트,기타조미료세트
181,소스/분말/조미료,조미료,기타향신료,기타향신료
182,소스/분말/조미료,조미료,깨,깨
183,소스/분말/조미료,조미료,맛술,맛술
184,소스/분말/조미료,조미료,물엿/시럽,물엿/시럽
185,소스/분말/조미료,조미료,설탕,갈색설탕
186,소스/분말/조미료,조미료,설탕,설탕
187,소스/분말/조미료,조미료,설탕,흰설탕
188,소스/분말/조미료,조미료,소금,암염
189,소스/분말/조미료,조미료,소금,정제염
190,소스/분말/조미료,조미료,소금,제재염
191,소스/분말/조미료,조미료,소금,천일염
192,소스/분말/조미료,조미료,소금,호수염
193,소스/분말/조미료,조미료,식초,식초
194,소스/분말/조미료,조미료,액상조미료,액상조미료
195,소스/분말/조미료,조미료,액젓,액젓
196,소스/분말/조미료,조미료,음용식초,음용식초
197,소스/분말/조미료,조미료,자연조미료,자연조미료
198,소스/분말/조미료,조미료,허브류,허브류
199,소스/분말/조미료,조미료,후추,후추
200,애견,간식,반려견간식,반려견간식
201,애견,간식,반려묘간식,반려묘간식
202,애견,사료,반려견사료,습식사료
203,애견,사료,반려묘사료,반려묘사료
204,유제품,버터,가염버터,가염버터
205,유제품,버터,마가린,마가린
206,유제품,버터,무염버터,무염버터
207,유제품,아이스크림,구슬아이스크림,구슬아이스크림
208,유제품,요구르트,떠먹는 요구르트,떠먹는 요구르트
209,유제품,요구르트,마시는 요구르트,마시는 요구르트
210,유제품,우유,가공우유,가공우유
211,유제품,우유,가공우유,검은콩우유
212,유제품,우유,가공우유,기타우유
