기존,전처리
 유기농원당(수입)20%, 유기농원당
 마늘시즈닝, 마늘시즈닝
사과농축액(사과과즙으로17.71%,사과농축액
국산원유(환원유)50%,국산원유
불고기양념-3[혼합간장[(밀:수입산),불고기양념
햄레드C,햄레드C
우지방,우지방
국내산)],국내산
파키스탄 등)},파키스탄 등
비타민B2 0.0432mg,비타민B mg
가공유정분(우유),가공유정분
 찰현미, 찰현미
부스터메이트,부스터메이트
대만산),대만산
 사과농축과즙(사과:중국산), 사과농축과즙
해바라기유2%,해바라기유
타우린(0.013%),타우린
 건조파조각, 건조파조각
포도농축액5%,포도농축액
디아세틸,디아세틸
 기타주류[백설탕, 기타주류
살구맛잼,살구맛잼
D-자일로오스,D자일로오스
들기름3.7%(볶음들깨,들기름
합성향료(로마노치즈향),합성향료
쥐치포98.9%(베트남){쥐치어육 86.9%,쥐치포쥐치어육 
꽃게짬뽕해물건더기,꽃게짬뽕해물건더기
 분말·결정 포도당, 분말결정 포도당
꿀맛전골장[양파(국산,꿀맛전골장
종국 고춧가루함량:11.9%(국산50.4%,종국 고춧가루함량
유청분말(국산),유청분말
홍삼분말0.6%(홍삼:국산),홍삼분말
 가당딸기(국산), 가당딸기
마늘분말(국내산),마늘분말
국산)0.15%,국산
요거트믹스파우더[요구르트분말(프랑스산)62.5%,요거트믹스파우더
*생탈리아텔레면(110gx2개)-밀가루(밀:호주산,생탈리아텔레면밀가루
유산균]50%,유산균
안나토색소(천연첨가물),안나토색소
 콜라겐, 콜라겐
자연치즈 4%,자연치즈 
멜론향크림[백설탕,멜론향크림
 필리핀산2%, 필리핀산
유청단백농축분말,유청단백농축분말
홍합(중국산),홍합
쉐프원미작,쉐프원미작
한우정육100%,한우정육
돼지고기93.33%(국산),돼지고기
오렌지100%(오렌지착즙100%,오렌지
닭고기20%/국산),닭고기국산
마테추출물분말 1%(마테 30% 마테:아르헨티나산),마테추출물분말 
레몬향(합성착향료),레몬향
 그래미육향(건조마늘분말, 그래미육향
7곡분말 1%[보리(국산),곡분말 
유기농 녹차 100%(국내산),유기농 녹차 
팽이버섯(국내산)40%,팽이버섯
계란노른자(국산),계란노른자
마늘3.5%,마늘
L-글루타민산나트륨(향미증진제)/(밀)],L글루타민산나트륨
 우리쌀가루(무농약백미, 우리쌀가루
 스위트렐리시13%[미국산:피클, 스위트렐리시
 올레오레진캡시컴 7%, 올레오레진캡시컴 
혼합제제(구아닐산이Na,혼합제제
 이스라엘산)1.2%, 이스라엘산
농축유청단백),농축유청단백
모듬소세지용씨즈닝 비[L-글루타민산나트륨(향미증진제)],모듬소세지용씨즈닝 비
 사이다맛씨즈닝 7.4%{함수결정포도당, 사이다맛씨즈닝 함수결정포도당
CPP(유단백가수분해물)0.00625%,CPP
 소맥전분(외국산:독일, 소맥전분
미국)],미국
닭육수분말,닭육수분말
식용색소청색 제1호(합성착색료),식용색소청색 제호
쇼트닝[대두유/외국산(대두),쇼트닝
김치후레바,김치후레바
지미베이스-1,지미베이스
양지추출물-1[양지(국내산),양지추출물
 프리미엄해물장{해물혼합추출액(오징어족:국산), 프리미엄해물장해물혼합추출액
메이스스파이스로얄 화이트소시지B(비):돼지고기89.32%(국산),메이스스파이스로얄 화이트소시지B돼지고기
 맛내기베이스, 맛내기베이스
포도농축액(포도과즙100%(미국산50%,포도농축액
진한육수내기,진한육수내기
 유청분말{우유:외국산(에스토니아, 유청분말우유외국산
탈지분유(국산),탈지분유
 발효농축액, 발효농축액
토마토색소-엠,토마토색소엠
계량메주발효물,계량메주발효물
합성향료(누룽지향),합성향료
검은콩분말1.2%(수입산),검은콩분말
쇠고기진국다시(밀),쇠고기진국다시
 당면(고구마전분), 당면
숯불맛분말,숯불맛분말
맛소금[정제소금(국산)90%,맛소금
천연착향료(꿀향,천연착향료
현미35%(국산),현미
전복굴농축액(고형분함량30%)84.77%[전복굴엑기스{전복엑기스(전복:완도산),전복굴농축액
석류100%(터키산),석류
 재제염(국내산)0.62%, 재제염
휘핑크림{유크림(우유),휘핑크림유크림
속초산)함유,속초산함유
녹차추출액99.93%(고형분함량0.1%이상,녹차추출액
검정콩고형분),검정콩고형분
팜유3.2%,팜유
 올리브유, 올리브유
무농약쌀 3.12%(국산),무농약쌀 
약콩(쥐눈이콩)분말3%(약콩:국산),약콩분말
무염버터4.94%(우유,무염버터
고형분60%/국산)},고형분국산
무10.55%(국산),무
고구마(인도네시아산84.2%,고구마
비프지미베이스NM,비프지미베이스NM
혼합제제Ⅰ(홍화황색소,혼합제제Ⅰ
대두화이바(대두/미국산),대두화이바
간마늘(국내산)0.6%,간마늘
혼합제제(산도조절제 3종),혼합제제
 콩기름[대두유(수입산), 콩기름
피틴산,피틴산
소맥분(밀:미국/호주산),소맥분
건당근 ,건당근 
카레페이스트1.1%(카레분2.3%),카레페이스트
절임무 55.56%[무97%(국산),절임무 
난각칼슘,난각칼슘
 응고제(글루코노델타락톤, 응고제
 아미노산혼합제제(영양강화제, 아미노산혼합제제
"""면:소맥분(밀;미국산",면소맥분
프로토올리고당,프로토올리고당
오리육96.35%(국내산),오리육
 수크랄로스 (인공감미료), 수크랄로스 
파스타40%(프랑스산,파스타
찹쌀(국산)71.5%,찹쌀
율무분(중국산)1%,율무분
 유기설탕10.6%, 유기설탕
오리고기(국내산)95.705%,오리고기
 국산순야채양념(양파, 국산순야채양념
어묵맛시즈닝RD(5'-리보뉴클레오티드이나트륨),어묵맛시즈닝RD
아카시아꿀0.50%(국산),아카시아꿀
버터시즈닝분말,버터시즈닝분말
올스파이스],올스파이스
천일염(국산/한국산)2%,천일염
오징어페이스트,오징어페이스트
합성착향료(키위향)0.06%,합성착향료
소홍창(외국산:호주,소홍창
조미멸치분말(멸치:국내산),조미멸치분말
 백태(대두, 백태
홍삼청6%[과당,홍삼청
망고과즙농축액(이스라엘산),망고과즙농축액
고추혼합농축액[고추추출액,고추혼합농축액
더블스프레드치즈,더블스프레드치즈
 파인소프트202(히드록시프로필인산이전분, 파인소프트
팜핵유/말레이시아산,팜핵유말레이시아산
 다진생강(국산), 다진생강
사골육수[사골(호주산)18.5%,사골육수
유기농그릭요구르트파우더{유기농플레인요구르트[유기농원유(우유,유기농그릭요구르트파우더유기농플레인요구르트
유기농설탕2%,유기농설탕
 L-멘톨, L멘톨
초코크림(마가린(우유),초코크림
쇼트닝{식물성유지(팜유/말레이시아산,쇼트닝식물성유지
복숭아42%(그리스산),복숭아
 한식간장 26%{대두 28%(국산), 한식간장 대두 
비타민B₂),비타민B₂
치즈맛시즈닝[치즈맛베이스{유청분말(유청-칠레산),치즈맛시즈닝
황색5호,황색호
연근2.38%],연근
복합시즈닝-DS[고화방지분당,복합시즈닝DS
대두유[(외국산:미국,대두유
합성향료(레몬향2),합성향료
생물기준27%),생물기준
합성착향료(오렌지자몽향),합성착향료
말레이시아 등)},말레이시아 등
스크랄로스(합성감미료),스크랄로스
레시틴 *스프류/물엿,레시틴 스프류물엿
양조간장원액(대만산),양조간장원액
후추(흑후추분말/수입산),후추
 구운헤이즐넛(헤이즐넛:터키산) 12%, 구운헤이즐넛 
 식물성크림(우유, 식물성크림
무농약밀가루(밀/국산)25%,무농약밀가루
단호박분말7.7%(국산),단호박분말
당밀시럽{당밀(캐나다산)},당밀시럽당밀
전각5.995%(호주산),전각
소맥전분[외국산(독일,소맥전분
고구마줄기(중국산)17%,고구마줄기
흑미(국산/무농약),흑미
 합성착향료 (감귤향, 합성착향료 
캐나다산 등),캐나다산 등
파인플로우,파인플로우
 베베콩고기[조미쇠고기맛후레이크-A(분리대두단백(대두/수입산) 11.6%), 베베콩고기 
밀)0.35%,밀
국산제주도),국산제주도
아연혼합제제(산화아연,아연혼합제제
 바닐라크림향(우유), 바닐라크림향
당근),당근
*어묵:연육(수입산/어육,어묵연육
 볶음현미분말0.89%(국내산), 볶음현미분말
참갈비맛소스[숯불햄맛엑기스[혼합간장{산분해간장(밀/수입산),참갈비맛소스
 사과농축액(배합함량 사과 100%, 사과농축액
구연산]12%,구연산
 배퓨레{배(국산), 배퓨레배
해물엑기스 •튀김유:현미유(태국산),해물엑기스 튀김유현미유
유청분말(유청분말:수입산,유청분말
 된장8.4%[대두(외국산), 된장
 합성착향료(오렌지향), 합성착향료
청피망],청피망
야채츱{생강엑기스(생강추출액#E-G94/국산),야채츱생강엑기스
유화제②,유화제②
 사골엑기스3%[사골추출농축액 62.58%{우사골(호주산)33%}, 사골엑기스
D-소르비톨액 3.0701%,D소르비톨액 
비타민D) 합성착향료,비타민D 합성착향료
햄레드C(혼합제제-무수결정포도당,햄레드C
크리스피어니언(네덜란드산),크리스피어니언
[L-글루타민산나트륨(향미증진제)],
게맛살,게맛살
 플리글리세린지방산에스테르, 플리글리세린지방산에스테르
딸기분말(국산)2.83%,딸기분말
돼지고기목뼈[외국산(독일,돼지고기목뼈
버터갈릭씨즈닝2.2%{미립당,버터갈릭씨즈닝미립당
볶음콩가루(미국산,볶음콩가루
맥문동보리추출액배합성분비:맥문동(국내산)0.45%,맥문동보리추출액배합성분비맥문동
호주산/밀),호주산밀
 대두다당유), 대두다당유
 혼합제제(베리류색소, 혼합제제
산도조절제] 웨스턴그릴러:돼지고기(국산)64.54%,산도조절제 웨스턴그릴러돼지고기
유기농블루베리(국내산)7.39%,유기농블루베리
 검정깨페이스트 0.4%(검정깨100%, 검정깨페이스트 
양조식초[맥아 엑기스,양조식초
아세설팜칼륨(합성감미료),아세설팜칼륨
김51%(국산),김
 혼합분말(쌀:국산)], 혼합분말
비프씨즈닝파우다(정제소금:국산),비프씨즈닝파우다
 명란(미국) 11.2%, 명란 
홍고추페이스트12%[홍고추(국산)90.93%,홍고추페이스트
부추(중국산)14.32%,부추
부추(중국산:80%,부추
소스류1,소스류
코코아분말(네덜란드산)11%,코코아분말
선젠페파로니4.5%[돼지고기]79.55%(국산),선젠페파로니
 시금치농축액 0.5%(고형분 16%, 시금치농축액 
소맥(국산),소맥
바닐린,바닐린
가다랑어추출물7.13%),가다랑어추출물
매실엑스,매실엑스
유청(국산),유청
레몬농축액베이스 70.8%[레몬농축액 21.64%(이스라엘산),레몬농축액베이스 
 밀(미국산)11%, 밀
백아몬드분말,백아몬드분말
베이컨3%{돼지고기(삼겹살:수입산),베이컨돼지고기
쌀42.48%(국산),쌀
계란(유정란,계란
자몽향),자몽향
계육(국내산)75.08%,계육
안티크로 DM,안티크로 DM
 초코코코넛약과 밀가루(중력분:미국, 초코코코넛약과 밀가루
 화이트와인2.5%, 화이트와인
조미마늘엑기스,조미마늘엑기스
멸치젓,멸치젓
산분해간장(탈지대두:수입산),산분해간장
피로인산나트륨(무수),피로인산나트륨
짬뽕맛조미유베이스(미강유:태국산)],짬뽕맛조미유베이스
자연치즈[국내산(임실)]99.2%(모짜렐라:원유,자연치즈
밀크초콜릿[싱가포르산:백설탕,밀크초콜릿
딸기농축액(고형분함량60%),딸기농축액
 진한새우액젓, 진한새우액젓
쇼트닝(말레이시아산,쇼트닝
 어성초 (국산)10%} 인삼 (4년근이상, 어성초  인삼 
 사양벌꿀 1.0%(국산), 사양벌꿀 
복숭아향,복숭아향
호밀,호밀
합성감미료],합성감미료
멥쌀100%(배합수제외,멥쌀
합성착향료(스카치라이스향,합성착향료
이스트엑기스분말[이스트엑기스83%(중국산),이스트엑기스분말
케냐산)0.1%,케냐산
우정육[쇠고기(호주산)]18%,우정육
 지황(숙지황)], 지황
전분(밀),전분
젖산나트류므프로필렌글리콜,젖산나트류므프로필렌글리콜
 고형분함량 72%), 고형분함량 
 당류가공품, 당류가공품
복합향신료 비6,복합향신료 비
참기름(국산)6.94%,참기름
 홍삼농축액(고형분 60%, 홍삼농축액
통밀3%,통밀
치킨엑기스에스{계육분해농축액(계육:국산),치킨엑기스에스계육분해농축액
농추대두단백,농추대두단백
 매실발효엑기스, 매실발효엑기스
엑시드309치즈후레바,엑시드치즈후레바
압착올리브유10%,압착올리브유
계피가루(계피/베트남산)],계피가루
두류가공품1,두류가공품
양배추(70%),양배추
정제수85%)1%,정제수
복합스파이스에프-8,복합스파이스에프
딸기크림10.96%[마가린{가공유지(팜에스테르화유:말레이시아산)},딸기크림
주정/바로조리순쌀떡볶이소스-고추장[물엿,주정바로조리순쌀떡볶이소스고추장
검정콩8.3%(국산),검정콩
메론농축과실즙0.17%(메론과실즙으로2%)(국산),메론농축과실즙
허니향(합성향료),허니향
 비프엑기스분말, 비프엑기스분말
포도농축액(미국산),포도농축액
혼합제제(카라기난,혼합제제
아사이펄프 85.03%(아사이베리퓨레 99.975%,아사이펄프 
 겨자분1%캐나다산), 겨자분캐나다산
효소제재,효소제재
 와사비향미유{겨자오일, 와사비향미유겨자오일
찰옥수수99%(국내산),찰옥수수
정제수) *메밀장:정제수,정제수 메밀장정제수
합성보존료],합성보존료
황금추출물0.968%(국내산),황금추출물
돼지머리고기 및 내장(국내산)18%,돼지머리고기 및 내장
유고형분),유고형분
초코크럼),초코크럼
찹쌀/무농약,찹쌀무농약
혼합제제(올레오레진로즈마리,혼합제제
이스트(수입산),이스트
콜라켄케이싱 *튜나샐러드-감자(국산),콜라켄케이싱 튜나샐러드감자
김(국산)82.12%,김
 자몽청징농축액(자몽과즙2%, 자몽청징농축액
 오징어12.14%(국내산), 오징어
마늘(중국산)}6.26%,마늘
녹차분말,녹차분말
 건청경채(중국산:청경채, 건청경채
소고기엑기스-C(쇠고기농축액,소고기엑기스C
설탕분말),설탕분말
 진한맛조미분., 진한맛조미분
 카라기난-CX, 카라기난CX
바베큐양념페이스트,바베큐양념페이스트
말티톱시럽,말티톱시럽
사골추출물,사골추출물
혼합제제3(유화제,혼합제제
오징어90.17%(페루산),오징어
오뚜기비프분말1호,오뚜기비프분말호
참깨향기름,참깨향기름
농후발효유9.1%[탈지분유(국산),농후발효유
너트맥그라운드,너트맥그라운드
 CJ김치양념풀, CJ김치양념풀
고추장66.00%[밀가루(밀:미국산/호주산),고추장
골뱅이50.0%(수입산),골뱅이
유화유지(물엿,유화유지
키위40%(국산),키위
녹차풍미유/스프-설탕,녹차풍미유스프설탕
피스타치오분태,피스타치오분태
글리세린지방산에스테류,글리세린지방산에스테류
춘장{소맥분[밀(외국산:호주,춘장소맥분
크림버터혼합분말20%(가공버터4%,크림버터혼합분말
(고춧가루20%,
쌀 함량:24.4%(국산),쌀 함량
겨자소스[겨자분(캐나다산),겨자소스
 프리더스트에스[밀가루, 프리더스트에스
녹차풍미액 스프:정제염,녹차풍미액 스프정제염
 간장대두, 간장대두
자몽종자추출물*청학동볶음흑임자(1g×1봉)-흑임자(중국산),자몽종자추출물청학동볶음흑임자흑임자
포고버섯(중국산),포고버섯
배퓨레3.6%[배,배퓨레
히알루론산),히알루론산
돼지고기(국내산)70%,돼지고기
참깨2%,참깨
베베돌김자반[돌김(국산) 43.56%,베베돌김자반 
72brix),brix
치킨맛시즈닝분말(치킨본베이스(계전골(국내산)),치킨맛시즈닝분말
 옥수수전분{옥수수/외국산(러시아, 옥수수전분옥수수외국산
 스파이스조미분말, 스파이스조미분말
혼합제제A(구연산,혼합제제A
 모짜렐라 스트링치즈 14% [모짜렐라 치즈 (프랑스산, 모짜렐라 스트링치즈  
매운갈비맛엑기스(대두,매운갈비맛엑기스
Lcasei,Lcasei
 퓨어초콜릿, 퓨어초콜릿
쇠고기8.6%(호주산),쇠고기
식물추출농축액(헛개나무열매(중국산),식물추출농축액
네틀,네틀
홍고추0.7%(국산),홍고추
 액상과당), 액상과당
양파17.33%/국산,양파국산
 복합조미식품2, 복합조미식품
 마이크로가드, 마이크로가드
비타민C 우유,비타민C 우유
세균수 기준)80.0%,세균수 기준
행복한맛남쇠고기국물맛내기[L-글루타민나트륨(향미증진제)],행복한맛남쇠고기국물맛내기
 혼합제제(구아검, 혼합제제
카놀라유(호주산)39.98%,카놀라유
혼합제제Ⅱ(비타민B2,혼합제제Ⅱ
모듬소세지용씨즈닝-에이[L-글루탐산나트륨(향미증진제),모듬소세지용씨즈닝에이
포도(국산)35%,포도
조미액(L-글루나민산나트륨(향미증진제),조미액
 토피향], 토피향
비타민Premix ND M/03 0.05%(덱스트린,비타민Premix ND M 
유기농조청2.57%,유기농조청
토마토분말(토마토),토마토분말
계육액분말{계육엑기스(닭고기:국산)}/계란],계육액분말계육엑기스계란
"5'-리보뉴클레오티드이나트륨
[유부주머니 전골소스] 
13.6%-우동베이스(일본산/혼합건조가다랑어추출물","리보뉴클레오티드이나트륨
"
기타가공품(밀가루(밀),기타가공품
전지분유(우유,전지분유
파마산치즈분말,파마산치즈분말
찹쌀고추장22%[고춧가루(국산),찹쌀고추장
마늘,마늘
검정깨(중국산)0.8%,검정깨
다시다쇠고기(우유),다시다쇠고기
사과퓨레-2,사과퓨레
혼합제제[L-글루탐산나트륨(향미증진제),혼합제제
김추물분말,김추물분말
정제소금1%(국산),정제소금
미더덕2.76%(국산),미더덕
산도조절제),산도조절제
초콜릿-DSH60%[백설탕,초콜릿DSH
바지락조미엑기스2.5%(고형분30%)(바지락분해농축액{바지락/중국산}),바지락조미엑기스
 우마미풍미분케이-69, 우마미풍미분케이
국산)정제수,국산정제수
돼지고기12.85%(국산),돼지고기
냉동마늘,냉동마늘
조개다시마엑기스[조개엑기스{조개(국산),조개다시마엑기스
 전란액{계란(국산), 전란액계란
 카레분B(강황17.2%/인도산)], 카레분B
 우스타소스, 우스타소스
쌀엿(쌀:국산),쌀엿
크랜베리..설탕,크랜베리설탕
조청쌀엿(쌀,조청쌀엿
혼합제재0.5%(땅콩89.5,혼합제재
 종가집새우액젓{새우젓(새우:국산)}, 종가집새우액젓새우젓
계피:베트남산),계피베트남산
마늘(국내산)5.0%,마늘
네덜란드산);(유크림,네덜란드산
고추장54.1%[소맥분(밀:미국/호주산),고추장
흑초2%[현미당화농축액(현미:국산),흑초
당근즙으로 1%) 0.175%,당근즙으로  
조미액(생강,조미액
마리골드꽃잎,마리골드꽃잎
레드클로버스프라우트),레드클로버스프라우트
밀분해추출물),밀분해추출물
뽕잎(국산)100%,뽕잎
갈릭스파이스MD-1,갈릭스파이스MD
알콘-에스,알콘에스
밀크크럼,밀크크럼
야채추출물(마늘,야채추출물
쇠고기양념분말(중국산)[소맥전분,쇠고기양념분말
황태엑기스},황태엑기스
모짜렐라 퐁듀5.45%{체다22.4%(호주산),모짜렐라 퐁듀체다
현미분말0.5%,현미분말
식물성유산균분말   ,식물성유산균분말   
자주색고구마색소/이소말토올리고당19%,자주색고구마색소이소말토올리고당
김(국내산) 54%,김 
 허니버터맛씨즈닝{결정과당, 허니버터맛씨즈닝결정과당
닭고기(국내산)33.81%,닭고기
밀시럽(밀),밀시럽
돼지오돌뼈(국내산)60%,돼지오돌뼈
 복합인산염 (피로인산나트륨, 복합인산염 
돼지고기5.95%(국산),돼지고기
로스트양파버터풍미유(유화제,로스트양파버터풍미유
미향{레몬(이스라엘)},미향레몬
닭고기27.10%(국산),닭고기
 설탕분말), 설탕분말
소고기(부채살-호주산)94.31%,소고기
단호박분말0.42%,단호박분말
백후추가루,백후추가루
연육{어육(수입산),연육어육
돼지고기24.14%(국산),돼지고기
코코아매스(싱가포르산)1%,코코아매스
천일염/국내산/찹쌀/무농약,천일염국내산찹쌀무농약
 호박농축액, 호박농축액
소세지어묵,소세지어묵
마늘간장조림분말,마늘간장조림분말
콰트로치즈페이스트(미국산),콰트로치즈페이스트
블루칼라(스피룰리나청색소,블루칼라
유산균(YoFlex SoGreek F1)0.0027%(총 유산균 100억 마리 이상/컵),유산균
바질씨드,바질씨드
바나나농축분말[바나나퓨레(수입산)66.2%]4%,바나나농축분말
현미유 100%(태국산),현미유 
브라질산)구연산,브라질산구연산
블루베리향)],블루베리향
유산균배양액/,유산균배양액
쌀99%(수입산),쌀
 계란후레이크(전란분, 계란후레이크
푸룬페이스트,푸룬페이스트
흑미튀밥(미국산)25%,흑미튀밥
농산물조림,농산물조림
양파11.94%(중국산),양파
기타가공류,기타가공류
대두분(대두:수입산),대두분
유기농혼합식용유[유기농야자유(필리핀산),유기농혼합식용유
오렌지농축과즙(오렌지과즙으로100%,오렌지농축과즙
후지30.0%),후지
송이크래커[밀가루(밀:미국산),송이크래커
 감미료(아세설팜칼륨, 감미료
PN우동베이스47.80%(고형분29.00%,PN우동베이스
D-솔비톨4%,D솔비톨
 크랜베리클래식(크랜베리, 크랜베리클래식
치커리화이바0.27%,치커리화이바
 감귤과립반제품 3.5%(감귤과립:국내산), 감귤과립반제품 
국산콩된장[대두(국산),국산콩된장
모짜렐라14.2%,모짜렐라
연육(인도산/어육,연육
계피분말(베트남/계피100%)1.1%,계피분말
  분말소포제(유화제,  분말소포제
 지미인핸서, 지미인핸서
닭고기100%(가슴속살/국내산),닭고기
화이바솔-2L,화이바솔L
글루콘산아녀,글루콘산아녀
 녹차풍미유., 녹차풍미유
짬뽕향미유[향미유베이스(미강유/태국산),짬뽕향미유
쇼트닝(식물성유지(팜올레인유/말레이시아산,쇼트닝
 홍차 20%(스리랑카산), 홍차 
 건포도(미국산/건포도, 건포도
라즈베리농축액2.5%(60brix,라즈베리농축액
황태해장국베이스2.6%[정제소금(국산),황태해장국베이스
 국산)52.3%, 국산
복합시즈닝S(L-글루타민산나트륨/향미증진제),복합시즈닝S
버터향),버터향
호주산)21.02%,호주산
미니콘푸로스트[옥수수(호주산),미니콘푸로스트
복합스파이스케이에프[아질산나트륨(발색제,복합스파이스케이에프
룰레콘데라홍차추출액(고형분1%이상),룰레콘데라홍차추출액
이디티에이칼슘이나트륨(산화방지제)} 팥배기4.3%{팥50%(중국산),이디티에이칼슘이나트륨 팥배기팥
검정깨(흑임자),검정깨
시리얼류,시리얼류
돼지고기14.62%(국산),돼지고기
 스테아린산칼슘), 스테아린산칼슘
난맥분말,난맥분말
코코아분말1%(네덜란드산),코코아분말
d-토코페놀(혼합형)],d토코페놀
 소스, 소스
 적근대과즙농축액, 적근대과즙농축액
계란[국산],계란
로즈마리분말,로즈마리분말
비후파우다,비후파우다
김(국내산)64%,김
이스트조미베이스,이스트조미베이스
돈혈(국산)돼지지방,돈혈돼지지방
 녹용(러시아산)} 구연산, 녹용 구연산
땅콩버터1(땅콩:중국산),땅콩버터
혼합제제(매스틱추출물,혼합제제
가공유지[팜스테이린유,가공유지
치자황색소0.09%(천연첨가물),치자황색소
연육77.12%(수입산/어육,연육
 시금치사랑(백미(수입산), 시금치사랑
버터(국산)28.8%,버터
뿌리채소혼합농축액0.60%[뿌리채소혼합즙으로3.17%(연근,뿌리채소혼합농축액
커피7.9%[인스턴트커피95%,커피
구운캐슈넛트10%[캐슈넛트(외국산:인도,구운캐슈넛트
 아스코르빌팔미테이트), 아스코르빌팔미테이트
석류초7.0%[석류농축액6.0%/★/석류100]},석류초
레몬농축액45Bx0.04%(이스라엘산),레몬농축액Bx
사과농축액(사과과즙으로1.75%,사과농축액
카레분2-15%(인도산,카레분
녹차풍미유 스프-치킨브로스분말,녹차풍미유 스프치킨브로스분말
국내산(쌀,국내산
저어키씨즈닝-2[정제소금(국산),저어키씨즈닝
우리콩양조원액(정제수,우리콩양조원액
홍국균5%},홍국균
식물성콩발효액{자연콩발효액[대두(외국산)],식물성콩발효액자연콩발효액
 L-글루탐산, L글루탐산
연육(미국산56.25%,연육
홀레드렌틸콩분말3.02%[홀레드렌틸콩(캐나다산)],홀레드렌틸콩분말
합성착향료(불닭향),합성착향료
발아현미49%(국내산),발아현미
프라이드오니온씨즈닝,프라이드오니온씨즈닝
생크림27.88%(우유-국산),생크림
커피원두98%(브라질100%),커피원두
커피원두100%(콜롬비아 슈프리모100%),커피원두
고소한빵가루배합용,고소한빵가루배합용
 알로에베라겔, 알로에베라겔
소고기(호주산)70.14%,소고기
스테비텐후레쉬},스테비텐후레쉬
돼지고기67.95%(앞다리살-국내산),돼지고기
분말간장,분말간장
페타치즈,페타치즈
 이산화규소)복합조미식품, 이산화규소복합조미식품
알기산나트륨,알기산나트륨
과채가공품2(딸기,과채가공품
홍어:100%(아르헨티나산),홍어
쇼트닝1[동물성유지(호주산),쇼트닝
사과퓨레2.67%(국산),사과퓨레
 요구르트베이스(국산), 요구르트베이스
돼지고기[외국산(미국,돼지고기
산도조절제 ●분말스프-정제소금(국산),산도조절제 분말스프정제소금
볶음땅콩분태(중국산)2.5%,볶음땅콩분태
현미 2.5%(국산),현미 
홍합엑기스분말(홍합:국산),홍합엑기스분말
정제소금:국산],정제소금국산
김치조미베이스,김치조미베이스
벌꿀3.0%,벌꿀
메밀가루 40%(국내산)],메밀가루 
초콜릿파우더(벨기에산)1.2%,초콜릿파우더
 유기쌀(국산)10%, 유기쌀
식용우지(호주산),식용우지
석류추출물,석류추출물
심황,심황
 천일염 2%, 천일염 
원유98.623%(국산),원유
커피분말,커피분말
칡즙농축액,칡즙농축액
무농약현미(국내산)94.35%,무농약현미
22.28%,
탈지대두단백(대두/중국산),탈지대두단백
레몬퓨레,레몬퓨레
골드키위퓨레2%(골드키위80%,골드키위퓨레
땅콩분말),땅콩분말
보리풀(보리(국산)40%,보리풀
자연콩발효액[정제소금(국산),자연콩발효액
 카놀라유 46%(유기농 인증, 카놀라유 
고구마88%(중국산),고구마
조미오징어분말,조미오징어분말
돼지갈비35%(외국산:스페인산,돼지갈비
소금25%)2%,소금
칡즙분말,칡즙분말
라이스크리스피{범프드라이스,라이스크리스피범프드라이스
초유농축유청단백(뉴질랜드)20%,초유농축유청단백
냉동연육72.08%(수입산/어육,냉동연육
 유기농물엿9%, 유기농물엿
헛개나무열매농축액(국산),헛개나무열매농축액
 양파농축액[양파즙농축액(국산)], 양파농축액
바베큐맛시즈닝,바베큐맛시즈닝
덱스트린) 제주감귤(14g×11개입)-물엿,덱스트린 제주감귤물엿
고올레산 해바라기유(외국산:스페인,고올레산 해바라기유
 몰린 9mg, 몰린 mg
D-소르비톨액],D소르비톨액
식염0.16%,식염
면 - 소맥분(인도네시아산,면  소맥분
껌베이스(합성감미료*아세설팜칼륨,껌베이스
토마토페이스트18.6%(중국산),토마토페이스트
 말토덱스트린, 말토덱스트린
커피원두100%(콜롬비아 보야카100%),커피원두
복합인산염[폴리인산나트륨,복합인산염
냉동가당딸기39%{딸기80%(국산),냉동가당딸기딸기
정제고올레산해바라기유(수입산),정제고올레산해바라기유
칡농축액23.74%(국산,칡농축액
"생강
[찹쌀약과2] 소맥분(밀:미국","생강
"
자당),자당
도화새우분말,도화새우분말
딸기잼{백설탕,딸기잼백설탕
녹차추출액(녹차엽:보성산)99.93%(고형분0.1%이상,녹차추출액
락색소LP-102(락색소,락색소LP
복합조미식품[버터맛시즈닝(복합조미분,복합조미식품
양지뜰진간장-N],양지뜰진간장N
돼지지방5.97%],돼지지방
소르빈산카륨(합성보존료),소르빈산카륨
코코아프리퍼레이션6.26%(코코아분말15%/벨기에산),코코아프리퍼레이션
"덱스티린)
소스:정제수","덱스티린
소스정제수"
살균크림,살균크림
간잔분말(아미노산간장3호(대두),간잔분말
샐러리/미국산],샐러리미국산
깨분]39.9%,깨분
사이다,사이다
글리세린지방산에스테르)],글리세린지방산에스테르
 명태피(러시아산) 34.8%} 84.48%] 0.08%, 명태피   
대두단백(NON GMO T.V.P인도산),대두단백
정제염)-(밀),정제염
연육54.40%(중국/어육,연육
 나타드코코 6%[나타드코코(베트남산), 나타드코코 
치즈케익(미국산;크림치즈,치즈케익
깽당(레드커리페이스트)(태국산),깽당
야채맛씨즈닝분말,야채맛씨즈닝분말
코코아분말(스페인산)1.7%,코코아분말
옥수수분(외국산:호주,옥수수분
어묵:연육64.06%(수입산/어육,어묵연육
감자전분10%,감자전분
 베이컨스타일탑핑3.83%[삼겹살48.3%{외국산(네덜란드, 베이컨스타일탑핑
생강맛분*카레꼬치:닭고기(정육/국내산)90.09%,생강맛분카레꼬치닭고기
현미(국산)15%,현미
