기존,전처리
 조미사골풍미분, 조미사골풍미분
된장찌개용매운양념(고춧가루:중국산),된장찌개용매운양념
부침가루{밀가루(밀/호주산,부침가루밀가루
 당근 8.79(국산), 당근 
비타민혼합제제{비타민C,비타민혼합제제비타민C
감자분말(벨기에산),감자분말
탄산수소나트륨(식품첨가물)/막창소스:재래식콩된장45.03%[정제수,탄산수소나트륨막창소스재래식콩된장
천일염(국산))3%,천일염
혼합제제(산도조절제)],혼합제제
닭가슴살5.0%(국산),닭가슴살
유기슈가파우더15.76%,유기슈가파우더
진한해물액3.5%(새우,진한해물액
초코향)]40%,초코향
유기농쌀가루1.5%(국산),유기농쌀가루
건포도5.3%[건포도99.5%,건포도
돼지고기(국내산)75.30%,돼지고기
스테비올배당체 *칼슘함량:1.575mg/1.5L기준,스테비올배당체 칼슘함량mgL기준
혼합제제(유화제과당,혼합제제
에리스리톨20%,에리스리톨
 둥글레 10%(중국산), 둥글레 
숙성생강6.7%(생각:국산),숙성생강
짜장풍미오일,짜장풍미오일
양송이(중국산:양송이,양송이
건포도(미국산/건포도,건포도
 엿기름추출액, 엿기름추출액
소금(호주산,소금
페퍼민트향),페퍼민트향
양념류[미원,양념류
아질산나트륨(박색제)],아질산나트륨
비타민미네랄혼합분말(제이인산칼슘,비타민미네랄혼합분말
 유기농), 유기농
당근(국산)4.97%,당근
 대두에스테르화유}, 대두에스테르화유
인삼농축액(인삼성분80mg/g이상,인삼농축액
맥아시럽),맥아시럽
생빵가루17.3%(밀가루-국내산,생빵가루
비타믹스[비타민C,비타믹스
유기농유청분말)(우유),유기농유청분말
 기타혼합제제(덱스트린, 기타혼합제제
어묵76.5% : 냉동어육[외국산(베트남,어묵  냉동어육
 배퓨레[배(국내산), 배퓨레
 천일염[국산], 천일염
사골농축액4%[우사골추출물(국내산)93.6%,사골농축액
고춧가루(국산)}],고춧가루
엿기름추출액[정제수,엿기름추출액
체리농축퓨레(폴란드산),체리농축퓨레
구연산철암모늄,구연산철암모늄
비타민C100mg/100g,비타민Cmgg
 떡편 7.30%[쌀(수입산)94.3%, 떡편 
 올리브유2%(수입산), 올리브유
백복령혼합농축액(백복령,백복령혼합농축액
코코아조제품(네덜란드산:전지분유,코코아조제품
 카레추출오일], 카레추출오일
도라지나물3.44%(국산),도라지나물
 배농축과즙(이스라엘산), 배농축과즙
야자경화유]17%,야자경화유
커피추출고형분(0.96%),커피추출고형분
적채(국산),적채
꽃게씨즈닝분말[꽃게농축분말(국산) 35%] 4.5%,꽃게씨즈닝분말  
비타셀WF200(밀식이섬유100%),비타셀WF
홀그레인머스타드4.5%(프랑스산/겨자씨36%),홀그레인머스타드
연어살,연어살
곡류가공품,곡류가공품
혼합분유{우유/탈지분유(미국산),혼합분유우유탈지분유
윈도우GSH,윈도우GSH
"계피분말
이스트-이스트(효모","계피분말
이스트이스트"
전분가공품[감자전분1(독일산),전분가공품
L-글루타민산나트륨(향미증진제)]100%,L글루타민산나트륨
마스코바도6.67%(원당100%수입산)},마스코바도
짜장시즈닝베이스-N29.17%[짜장베이스-N5763%(미강유/태국산,짜장시즈닝베이스N
가쓰오엑스NM(향미증진제,가쓰오엑스NM
 체세포수 1등급, 체세포수 등급
 가쓰오오메부시엑기스-P[가쓰오추출액(가쓰오후레이크 : 인도네시아산), 가쓰오오메부시엑기스P
 알파옥수수전분, 알파옥수수전분
유화제2],유화제
은갈치100%,은갈치
 가공버터[가공버터(뉴질랜드산), 가공버터
 산분해간장[산분해간장원액{소맥글루텐(밀:수입산)} 정제고슴(국산), 산분해간장 정제고슴
전통불고기양념[대두밀,전통불고기양념
건조딸기(독일산),건조딸기
한우꾸리살100%,한우꾸리살
 비타민C등/ 홍차추출분말(아일랜드산), 비타민C등 홍차추출분말
스틸컷귀리,스틸컷귀리
아질신나트륨(발색제),아질신나트륨
파프리카16.66%(국내산),파프리카
코리안더,코리안더
현미88%(이상국산),현미
 피자소스(토마토페이스트, 피자소스
퓨라칼(칼슘12%)0.105,퓨라칼
볶은 커피 0.37%(일본산:콜롬비아산 원두 100%),볶은 커피 
[치즈닭갈비삼각김밥]쌀,
 소스류(대두, 소스류
딸기씨앗,딸기씨앗
 제삼인산칼슘제제(영양강화제, 제삼인산칼슘제제
찹쌀땅콩[(중국산)땅콩39.91%,찹쌀땅콩땅콩
망고농축퓨레(망고과즙으로 8.8%,망고농축퓨레
 행복한맛남 쇠고기맛국물내기, 행복한맛남 쇠고기맛국물내기
무지유고형분(우유)/호주산} 16.8%,무지유고형분호주산 
들깨(국산)100%,들깨
김치41.37%[배추88.75%(국산),김치
혼합간장소스,혼합간장소스
 쌀12.7%(국산), 쌀
쇼트닝(식물성유지:말레이시아산),쇼트닝
65Brix)0.208%,Brix
 파라과이 등), 파라과이 등
홍삼추출농축액(고형분60%이상,홍삼추출농축액
돼지고기(국산)84.92%,돼지고기
사과식초[농축사과과즙(사과:중국산),사과식초
딸기과즙1.94%(딸기농축액으로0.209%,딸기과즙
쌀99.79%(중국산),쌀
 아롬오일, 아롬오일
구아검/대두],구아검대두
단호박냉동31%(호박100%/국산),단호박냉동
프락토화이버,프락토화이버
호두분태0.45%(미국산),호두분태
 비타민 D3(자당, 비타민 D
스테비오사이드 *와사비장:정제수,스테비오사이드 와사비장정제수
오리육(국산)88.15%,오리육
 합성착향료(곡물향), 합성착향료
 국산18.61%], 국산
양파:중국산),양파중국산
엿기름(국내산),엿기름
 피코크향미즙, 피코크향미즙
돼지고기53.93%(국산,돼지고기
보리(국산)100%,보리
밀가루[밀100%(미국산,밀가루
소맥분(밀:국산),소맥분
소정육(호주산)8.33%,소정육
사과농축액0.4%(고형분함량50%),사과농축액
 비타민B2. 스프류/사골분말, 비타민B 스프류사골분말
혼합제제(DL-알파토코페롤 아세테이트,혼합제제
L-글루타민산나트륨(향미증진제)*유부초밥박사소스골드-고과당,L글루타민산나트륨유부초밥박사소스골드고과당
양파7.39%,양파
 고추씨기름, 고추씨기름
혼합제제(초산비타민E,혼합제제
돼지고기(국산)94.6%,돼지고기
전분4.09%,전분
비타민B2 0.00013%,비타민B 
당류가공품(밤페이스트33.4%/국산),당류가공품
기타코코아가공품(영국산:코코아매스),기타코코아가공품
 향료혼합제제(정제수, 향료혼합제제
밀가루1(밀:미국,밀가루
발효식초 꼬마새송이야채절임-꼬마새송이버섯,발효식초 꼬마새송이야채절임꼬마새송이버섯
고추장양념(중국산/고춧가루40.00%),고추장양념
리보플라빈,리보플라빈
 푸른씨즈닝, 푸른씨즈닝
 찐밀쌀가루, 찐밀쌀가루
배퓨레12.8%(국산),배퓨레
 해물맛과립 13%(유당, 해물맛과립 
표고버섯엑기스0.1%(표고버섯:중국산)],표고버섯엑기스
소맥(미국산)}]),소맥
고소한빵가루배합용[밀가루(밀:미국산,고소한빵가루배합용
팽이버섯(국내산)6.7%,팽이버섯
시즈닝믹스디원,시즈닝믹스디원
식물성조직단백,식물성조직단백
동결건조딸기분말3.5%(국내산),동결건조딸기분말
 땡초말이어묵 12.0%(냉동연육(수입산), 땡초말이어묵 
새우엑기스분말(새우:국산),새우엑기스분말
돼지갈비살12.39%(국산),돼지갈비살
녹차추출분말,녹차추출분말
